,car,price,body,mileage,engV,engType,registration,year,model,drive,engV_cat,age,age_Group,price_cat,mpy,mpy_cat
0,Ford,15500.0,crossover,68.0,2.5,Gas,yes,2010,Kuga,full,Moderate,6,3-6,Moderate,11.33,Moderate
1,Mercedes-Benz,20500.0,sedan,173.0,1.8,Gas,yes,2011,E-Class,rear,Low,5,3-6,Moderate,34.6,Extreme
2,Mercedes-Benz,35000.0,other,135.0,5.5,Petrol,yes,2008,CL 550,rear,High,8,6-10,Moderate,16.88,High
3,Mercedes-Benz,17800.0,van,162.0,1.8,Diesel,yes,2012,B 180,front,Low,4,3-6,Moderate,40.5,Extreme
4,Mercedes-Benz,33000.0,vagon,91.0,1.9,Other,yes,2013,E-Class,rear,Low,3,1-3,Moderate,30.33,Extreme
5,Nissan,16600.0,crossover,83.0,2.0,Petrol,yes,2013,X-Trail,full,Low,3,1-3,Moderate,27.67,Extreme
6,Honda,6500.0,sedan,199.0,2.0,Petrol,yes,2003,Accord,front,Low,13,10-29,Low,15.31,High
7,Renault,10500.0,vagon,185.0,1.5,Diesel,yes,2011,Megane,front,Low,5,3-6,Moderate,37.0,Extreme
8,Mercedes-Benz,21500.0,sedan,146.0,1.8,Gas,yes,2012,E-Class,rear,Low,4,3-6,Moderate,36.5,Extreme
9,Mercedes-Benz,22700.0,sedan,125.0,2.2,Diesel,yes,2010,E-Class,rear,Moderate,6,3-6,Moderate,20.83,High
10,Nissan,20447.154,crossover,0.0,1.2,Petrol,yes,2016,Qashqai,front,Low,0,0-1,Moderate,0.0,Low
11,Mercedes-Benz,20400.0,sedan,190.0,1.8,Gas,yes,2011,E-Class,rear,Low,5,3-6,Moderate,38.0,Extreme
12,Mercedes-Benz,22500.0,sedan,164.0,1.8,Gas,yes,2012,E-Class,rear,Low,4,3-6,Moderate,41.0,Extreme
13,BMW,4700.0,sedan,200.0,1.6,Petrol,yes,1996,316,rear,Low,20,10-29,Low,10.0,Low
14,Mercedes-Benz,21500.0,sedan,159.0,1.8,Gas,yes,2012,E-Class,rear,Low,4,3-6,Moderate,39.75,Extreme
15,BMW,19999.0,sedan,290.0,4.8,Petrol,yes,2006,750,rear,High,10,6-10,Moderate,29.0,Extreme
16,BMW,129222.0,sedan,2.0,5.0,Petrol,yes,2016,750,full,High,0,0-1,Extreme,0.0,Low
17,Mercedes-Benz,99999.0,crossover,0.0,3.0,Petrol,yes,2016,GLE-Class,full,Moderate,0,0-1,High,0.0,Low
19,BMW,73900.0,sedan,57.0,4.4,Petrol,yes,2013,M5,rear,High,3,1-3,High,19.0,High
20,Land Rover,167449.5,crossover,0.0,4.4,Diesel,yes,2016,Range Rover,full,High,0,0-1,Extreme,0.0,Low
21,Nissan,26033.553,crossover,0.0,1.6,Diesel,yes,2016,X-Trail,full,Low,0,0-1,Moderate,0.0,Low
22,BMW,104999.0,crossover,2.0,3.0,Diesel,yes,2016,X5,full,Moderate,0,0-1,Extreme,0.0,Low
23,BMW,66500.0,crossover,1.0,2.0,Diesel,yes,2016,X5,full,Low,0,0-1,High,0.0,Low
24,BMW,65099.0,crossover,0.0,2.0,Diesel,yes,2016,X5,full,Low,0,0-1,High,0.0,Low
25,BMW,23900.0,crossover,235.0,3.0,Diesel,yes,2007,X5,full,Moderate,9,6-10,Moderate,26.11,Extreme
26,Mercedes-Benz,69999.0,crossover,0.0,2.2,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,High,0.0,Low
27,BMW,66200.0,crossover,70.0,3.0,Diesel,yes,2014,X5,full,Moderate,2,1-3,High,35.0,Extreme
28,BMW,63000.0,crossover,33.0,2.0,Diesel,yes,2015,X5,full,Low,1,0-1,High,33.0,Extreme
29,Mercedes-Benz,105999.0,crossover,0.0,2.98,Diesel,yes,2016,GLE-Class,full,Moderate,0,0-1,Extreme,0.0,Low
30,Nissan,13980.0,hatch,31.0,1.0,Other,yes,2013,Leaf,front,Low,3,1-3,Moderate,10.33,Moderate
31,Nissan,17300.0,hatch,24.0,1.0,Other,yes,2013,Leaf,front,Low,3,1-3,Moderate,8.0,Low
32,Volkswagen,10700.0,sedan,147.0,2.0,Petrol,yes,2007,Passat B6,front,Low,9,6-10,Moderate,16.33,High
